schemaVersion,recordType,source_name,source_url,company,title,date,is_remote,role_family,collectedAt
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-15-15-17-hr-depending-on-location-wildflower-1136308,Wildflower,$15.15 $17 HR depending on location,2026-08-07T18:28:57Z,True,Engineering,2026-08-12T07:42:00.431607Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-current-jobs-opening-captain-pq-chemical-industries-pvt-limited-1136309,Captain Pq Chemical Industries Pvt. Limited,CURRENT JOBS OPENING,2026-08-07T18:26:50Z,True,Engineering,2026-08-12T07:42:00.466643Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-labourer-brimble-1136313,Brimble,LABOURER,2026-08-07T17:31:28Z,True,Engineering,2026-08-12T07:42:00.465342Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-holly-can-fix-it-four-seasons-1136305,Four Seasons,Holly Can Fix It,2026-08-07T16:53:42Z,True,Engineering,2026-08-12T07:42:00.476663Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-cleaner-jobsmedia-io-1136306,Jobsmedia.Io,Cleaner,2026-08-07T15:44:58Z,True,Engineering,2026-08-12T07:42:00.420350Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-how-apply-the-philadelphia-school-1136304,The Philadelphia School,How Apply,2026-08-07T15:12:19Z,True,Engineering,2026-08-12T07:42:01.096267Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-senior-react-full-stack-developer-lemon-io-1136299,Lemon.Io,Senior React Full stack Developer,2026-08-07T13:08:19Z,True,Engineering,2026-08-12T07:42:00.492583Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-oops-something-happened-haus-com-1136301,Haus.Com,Oops something happened,2026-08-07T12:25:20Z,True,Engineering,2026-08-12T07:42:00.870287Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-various-luigis-box-neulogy-ventures-1136307,Neulogy Ventures,"Various 
@ Luigiâs Box",2026-08-07T11:07:23Z,True,Engineering,2026-08-12T07:42:00.452925Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-open-vacancies-ccdc-the-cambridge-crystallographic-data-centre-1136303,Ccdc - The Cambridge Crystallographic Data Centre,Open Vacancies,2026-08-07T09:16:16Z,True,Engineering,2026-08-12T07:42:00.909650Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-think-we-could-be-a-good-fit-tees-components-1136302,Tees Components,THINK WE COULD BE A GOOD FIT,2026-08-07T09:16:08Z,True,Engineering,2026-08-12T07:42:00.846162Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-jd-store-management-puerto-rico-premium-outlets-barceloneta-pr-jd-finish-line-1136459,Jd Finish Line,JD Store Management Puerto Rico Premium Outlets Barceloneta PR,2026-08-07T09:05:51Z,True,Engineering,2026-08-12T07:42:00.530569Z
